Building name,Street address,Suburb,Postcode,Accessibility type,Accessibility type description,Accessibility rating,Building Height (highest floor),Construction year,Refurbished year,Latitude,Longitude,Location
 ,70 Pelham Street,CARLTON,3053,Steps,All entrances have steps,1,1,0,0,-37.802658,144.967085,"70 Pelham Street
(-37.802658, 144.967085)"
 ,19-21 Lincoln Square South,CARLTON,3053,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.803362,144.962781,"19-21 Lincoln Square South
(-37.803362, 144.962781)"
 ,75-77 Haig Street,SOUTHBANK,3006,Step free,Main Entrance is at grade and has no steps or ramp,3,0,0,0,-37.828142,144.956427,"75-77 Haig Street
(-37.828142, 144.956427)"
 ,89-95 Lothian Street,NORTH MELBOURNE,3051,Step free,Main Entrance is at grade and has no steps or ramp,3,0,1940,0,-37.801158,144.944547,"89-95 Lothian Street
(-37.801158, 144.944547)"
 ,189-191 Little Bourke Street,MELBOURNE,3000,Step free,Main Entrance is at grade and has no steps or ramp,3,1,1965,0,-37.812194,144.966954,"189-191 Little Bourke Street
(-37.812194, 144.966954)"
 ,195-197 Russell Street,MELBOURNE,3000,Too complex to determine,Configuration of entrance does not fit into any of the other categories,0,2,1945,1988,-37.811997,144.967404,"195-197 Russell Street
(-37.811997, 144.967404)"
 ,208 Swanston Street,MELBOURNE,3000,Small lip or steep ramp,Entrance(s) have limited access via a small lip or a steep ramp,2,1,1904,1990,-37.812858,144.965644,"208 Swanston Street
(-37.812858, 144.965644)"
 ,136-154 Victoria Street,CARLTON,3053,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,8,2011,0,-37.806194,144.962511,"136-154 Victoria Street
(-37.806194, 144.962511)"
 ,20 Smyth Mews,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2010,0,-37.792771,144.940975,"20 Smyth Mews
(-37.792771, 144.940975)"
 ,25 Sutton Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2010,0,-37.792532,144.94087,"25 Sutton Street
(-37.792532, 144.94087)"
 ,23A Sutton Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2010,0,-37.792538,144.940921,"23A Sutton Street
(-37.792538, 144.940921)"
 ,19 Sutton Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2010,0,-37.792564,144.941152,"19 Sutton Street
(-37.792564, 144.941152)"
 ,43 South Wharf Drive,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2011,0,-37.822846,144.938583,"43 South Wharf Drive
(-37.822846, 144.938583)"
 ,35 South Wharf Drive,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2011,0,-37.822981,144.939208,"35 South Wharf Drive
(-37.822981, 144.939208)"
 ,8 Stokehold Mews,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2011,0,-37.822698,144.937421,"8 Stokehold Mews
(-37.822698, 144.937421)"
 ,850-868 Lorimer Street,PORT MELBOURNE,3207,Ramp,Main Entrance has ramp,3,1,1980,0,-37.822931,144.934539,"850-868 Lorimer Street
(-37.822931, 144.934539)"
Southern Star Observation Wheel,101 Waterfront Way,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2009,2011,-37.811873,144.93759,"101 Waterfront Way
(-37.811873, 144.93759)"
 ,26 Cornish Lane,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2010,0,-37.793487,144.920206,"26 Cornish Lane
(-37.793487, 144.920206)"
 ,19 Smyth Mews,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2010,0,-37.793009,144.940933,"19 Smyth Mews
(-37.793009, 144.940933)"
 ,15 Wilson Mews,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2010,0,-37.793485,144.940943,"15 Wilson Mews
(-37.793485, 144.940943)"
 ,13 Wilson Mews,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2010,0,-37.79349,144.940989,"13 Wilson Mews
(-37.79349, 144.940989)"
 ,9 Wilson Mews,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2010,0,-37.7935,144.941082,"9 Wilson Mews
(-37.7935, 144.941082)"
 ,32 South Wharf Drive,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2011,0,-37.822664,144.939348,"32 South Wharf Drive
(-37.822664, 144.939348)"
 ,2 Stokehold Mews,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2011,0,-37.822877,144.937357,"2 Stokehold Mews
(-37.822877, 144.937357)"
 ,1 Foundry Way,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2011,0,-37.822951,144.937685,"1 Foundry Way
(-37.822951, 144.937685)"
Port Education Centre,339-343 Lorimer Street,FISHERMANS BEND,3207,Step free,Main Entrance is at grade and has no steps or ramp,3,0,2003,0,-37.822837,144.908977,"339-343 Lorimer Street
(-37.822837, 144.908977)"
 ,9 Radcliffe Street,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2001,0,-37.803184,144.933727,"9 Radcliffe Street
(-37.803184, 144.933727)"
ANZ,791-847 Collins Street,DOCKLANDS,3008,Step free,Main Entrance is at grade and has no steps or ramp,3,11,2009,0,-37.82225,144.944871,"791-847 Collins Street
(-37.82225, 144.944871)"
 ,2-12 Batmans Hill Drive,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.821765,144.950103,"2-12 Batmans Hill Drive
(-37.821765, 144.950103)"
 ,118-120 Langford Street,NORTH MELBOURNE,3051,Step free,Main Entrance is at grade and has no steps or ramp,3,0,0,2011,-37.79639,144.937099,"118-120 Langford Street
(-37.79639, 144.937099)"
 ,44 Provost Street,NORTH MELBOURNE,3051,Undetermined,Access has not been rated,0,2,2010,0,-37.801771,144.946696,"44 Provost Street
(-37.801771, 144.946696)"
 ,275-287 Arden Street,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.802353,144.935619,"275-287 Arden Street
(-37.802353, 144.935619)"
 ,138 Capel Street,NORTH MELBOURNE,3051,Undetermined,Access has not been rated,0,1,1870,0,-37.804809,144.955608,"138 Capel Street
(-37.804809, 144.955608)"
Victoria Green,70 Import Lane,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.820353,144.945021,"70 Import Lane
(-37.820353, 144.945021)"
Convesso Concavo site,870-892 Bourke Street,DOCKLANDS,3008,Undetermined,Access has not been rated,0,0,0,0,-37.820093,144.941411,"870-892 Bourke Street
(-37.820093, 144.941411)"
 ,1 Augusta Avenue,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2011,0,-37.815845,144.937949,"1 Augusta Avenue
(-37.815845, 144.937949)"
 ,9 Augusta Avenue,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2011,0,-37.815952,144.937669,"9 Augusta Avenue
(-37.815952, 144.937669)"
 ,13 Augusta Avenue,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2011,0,-37.816005,144.937529,"13 Augusta Avenue
(-37.816005, 144.937529)"
 ,436 Victoria Street,NORTH MELBOURNE,3051,Steps,All entrances have steps,1,1,1960,1980,-37.804913,144.951773,"436 Victoria Street
(-37.804913, 144.951773)"
Convesso Concavo,848-868 Bourke Street,DOCKLANDS,3008,Undetermined,Access has not been rated,0,27,2012,0,-37.819828,144.9422,"848-868 Bourke Street
(-37.819828, 144.9422)"
 ,4 Boughton Place,WEST MELBOURNE,3003,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2009,0,-37.811575,144.951948,"4 Boughton Place
(-37.811575, 144.951948)"
 ,160-186 Lorimer Street,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.821846,144.934933,"160-186 Lorimer Street
(-37.821846, 144.934933)"
 ,40-84 MacKenzie Road,WEST MELBOURNE,3003,Steps,All entrances have steps,1,0,0,0,-37.8164,144.906725,"40-84 MacKenzie Road
(-37.8164, 144.906725)"
 ,7 Curzon Place,NORTH MELBOURNE,3051,Undetermined,Access has not been rated,0,3,2011,0,-37.803841,144.948466,"7 Curzon Place
(-37.803841, 144.948466)"
 ,1000 La Trobe Street,DOCKLANDS,3008,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.814273,144.946201,"1000 La Trobe Street
(-37.814273, 144.946201)"
 ,990 La Trobe Street,DOCKLANDS,3008,Ramp,Main Entrance has ramp,3,9,2012,0,-37.81384,144.946768,"990 La Trobe Street
(-37.81384, 144.946768)"
 ,24 Wilson Mews,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2010,0,-37.793227,144.9408,"24 Wilson Mews
(-37.793227, 144.9408)"
 ,18 Wilson Mews,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,2010,0,-37.793242,144.940939,"18 Wilson Mews
(-37.793242, 144.940939)"
 ,58 McCracken Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.791938,144.927461,"58 McCracken Street
(-37.791938, 144.927461)"
Claverdon,21 Hopetoun Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.792059,144.92672,"21 Hopetoun Street
(-37.792059, 144.92672)"
 ,53 Rankins Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1935,0,-37.790213,144.932027,"53 Rankins Road
(-37.790213, 144.932027)"
 ,57 Rankins Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1900,0,-37.790313,144.932007,"57 Rankins Road
(-37.790313, 144.932007)"
 ,63-67 Rankins Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1979,0,-37.790501,144.931972,"63-67 Rankins Road
(-37.790501, 144.931972)"
 ,73 Rankins Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1935,0,-37.790768,144.931924,"73 Rankins Road
(-37.790768, 144.931924)"
 ,75 Rankins Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1935,0,-37.790825,144.931911,"75 Rankins Road
(-37.790825, 144.931911)"
 ,44 Musgrove Mews,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.791885,144.920087,"44 Musgrove Mews
(-37.791885, 144.920087)"
 ,34 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794752,144.926087,"34 Kensington Road
(-37.794752, 144.926087)"
 ,42 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794885,144.925861,"42 Kensington Road
(-37.794885, 144.925861)"
 ,62 Kensington Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795239,144.925245,"62 Kensington Road
(-37.795239, 144.925245)"
Fersfield,6 The Ridgeway,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793729,144.926234,"6 The Ridgeway
(-37.793729, 144.926234)"
 ,10-14 The Ridgeway,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.793809,144.926096,"10-14 The Ridgeway
(-37.793809, 144.926096)"
 ,27 Hopetoun Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2004,0,-37.792367,144.926653,"27 Hopetoun Street
(-37.792367, 144.926653)"
Gordon Cottage,47 Lambeth Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1886,0,-37.790596,144.934489,"47 Lambeth Street
(-37.790596, 144.934489)"
 ,443 Flemington Road,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,1900,0,-37.788631,144.940562,"443 Flemington Road
(-37.788631, 144.940562)"
 ,45 Bateman Road,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.795631,144.917979,"45 Bateman Road
(-37.795631, 144.917979)"
 ,80W Toorak Road,SOUTH YARRA,3141,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.837348,144.980819,"80W Toorak Road
(-37.837348, 144.980819)"
 ,107 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.79241,144.919833,"107 Stockmans Way
(-37.79241, 144.919833)"
 ,109 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792411,144.919752,"109 Stockmans Way
(-37.792411, 144.919752)"
 ,99 Stockmans Way,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.792444,144.920106,"99 Stockmans Way
(-37.792444, 144.920106)"
 ,24 Greenham Place,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,0,0,-37.791895,144.920579,"24 Greenham Place
(-37.791895, 144.920579)"
 ,16 Musgrove Mews,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,2,0,0,-37.791715,144.920553,"16 Musgrove Mews
(-37.791715, 144.920553)"
 ,34-36 Howlett Street,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,1,2003,0,-37.790177,144.921919,"34-36 Howlett Street
(-37.790177, 144.921919)"
Fairhaven,26 The Ridgeway,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794133,144.925534,"26 The Ridgeway
(-37.794133, 144.925534)"
 ,28 The Ridgeway,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794197,144.925424,"28 The Ridgeway
(-37.794197, 144.925424)"
Euroa,38 The Ridgeway,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.794381,144.925105,"38 The Ridgeway
(-37.794381, 144.925105)"
 ,55 The Ridgeway,KENSINGTON,3031,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,0,0,-37.79504,144.924895,"55 The Ridgeway
(-37.79504, 144.924895)"
 ,210-212 Boundary Road,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1920,0,-37.788653,144.940327,"210-212 Boundary Road
(-37.788653, 144.940327)"
 ,103-105 Boundary Road,NORTH MELBOURNE,3051,Not applicable,Building is not considered to be publicly accessible so access has not been rated,0,0,1997,0,-37.791341,144.939261,"103-105 Boundary Road
(-37.791341, 144.939261)"
 ,64-90 Sutton Street,NORTH MELBOURNE,3051,Steps,All entrances have steps,1,2,1940,0,-37.791655,144.937872,"64-90 Sutton Street
(-37.791655, 144.937872)"
